ticker,name,sector
1301.T,"KYOKUYO CO.,LTD.","Fishery, Agriculture and Forestry"
1332.T,Nissui Corporation,"Fishery, Agriculture and Forestry"
1333.T,Maruha Nichiro Corporation,"Fishery, Agriculture and Forestry"
1375.T,"YUKIGUNI FACTORY CO.,LTD.","Fishery, Agriculture and Forestry"
1377.T,SAKATA SEED CORPORATION,"Fishery, Agriculture and Forestry"
1379.T,HOKUTO CORPORATION,"Fishery, Agriculture and Forestry"
1414.T,"SHO-BOND Holdings Co.,Ltd.",Construction
1417.T,MIRAIT ONE Corporation,Construction
1419.T,"Tama Home Co.,Ltd.",Construction
1429.T,"Nippon Aqua Co.,Ltd.",Construction
1433.T,"BESTERRA CO.,LTD",Construction
1515.T,"Nittetsu Mining Co.,Ltd.",Mining
1518.T,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",Other Products
1605.T,INPEX CORPORATION,Mining
1662.T,"Japan Petroleum Exploration Co.,Ltd.",Mining
1663.T,K&O Energy Group Inc.,Mining
167A.T,"Ryoyo Ryosan Holdings,Inc.",Wholesale Trade
1719.T,HAZAMA ANDO CORPORATION,Construction
1720.T,"TOKYU CONSTRUCTION CO., LTD.",Construction
1721.T,COMSYS Holdings Corporation,Construction
1726.T,Br.Holdings Corporation,Construction
1762.T,"TAKAMATSU CONSTRUCTION GROUP CO.,LTD.",Construction
1766.T,TOKEN CORPORATION,Construction
1773.T,YTL Corporation Berhad,Construction
1780.T,YAMAURA CORPORATION,Construction
1786.T,Oriental Shiraishi Corporation,Construction
1801.T,TAISEI CORPORATION,Construction
1802.T,OBAYASHI CORPORATION,Construction
1803.T,SHIMIZU CORPORATION,Construction
1808.T,HASEKO Corporation,Construction
1812.T,KAJIMA CORPORATION,Construction
1813.T,Fudo Tetra Corporation,Construction
1814.T,"DAISUE CONSTRUCTION CO.,LTD.",Construction
1815.T,TEKKEN CORPORATION,Construction
1820.T,"Nishimatsu Construction Co.,Ltd.",Construction
1833.T,OKUMURA CORPORATION,Construction
1835.T,"TOTETSU KOGYO CO.,LTD.",Construction
1852.T,ASANUMA CORPORATION,Construction
1860.T,TODA CORPORATION,Construction
1861.T,"Kumagai Gumi Co.,Ltd.",Construction
1870.T,"YAHAGI CONSTRUCTION CO.,LTD.",Construction
1871.T,"PS Construction Co.,Ltd.",Construction
1873.T,"NIHON HOUSE HOLDINGS CO.,LTD.",Construction
1878.T,"DAITO TRUST CONSTRUCTION CO.,LTD.",Real Estate
1879.T,SHINNIHON CORPORATION,Construction
1882.T,TOA ROAD CORPORATION,Construction
1885.T,TOA CORPORATION,Construction
1887.T,JDC CORPORATION,Construction
1888.T,"WAKACHIKU CONSTRUCTION CO.,LTD.",Construction
1893.T,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",Construction
1898.T,"SEIKITOKYU KOGYO CO.,LTD.",Construction
1899.T,FUKUDA CORPORATION,Construction
1911.T,"Sumitomo Forestry Co.,Ltd.",Construction
1925.T,"DAIWA HOUSE INDUSTRY CO.,LTD.",Construction
1926.T,"RAITO KOGYO CO.,LTD.",Construction
1928.T,"Sekisui House,Ltd.",Construction
1929.T,"NITTOC CONSTRUCTION CO.,LTD.",Construction
1930.T,"HOKURIKU ELECTRICAL CONSTRUCTION CO.,LTD.",Construction
1934.T,YURTEC CORPORATION,Construction
1938.T,"NIPPON RIETEC CO.,LTD.",Construction
1939.T,YONDENKO CORPORATION,Construction
1941.T,CHUDENKO CORPORATION,Construction
1942.T,"KANDENKO CO.,LTD.",Construction
1944.T,KINDEN CORPORATION,Construction
1945.T,TOKYO ENERGY & SYSTEMS INC.,Construction
1946.T,TOENEC CORPORATION,Construction
1949.T,"SUMITOMO DENSETSU CO.,LTD.",Construction
1950.T,"NIPPON DENSETSU KOGYO CO.,LTD.",Construction
1951.T,"EXEO Group,Inc.",Construction
1952.T,"Shin Nippon Air Technologies Co.,Ltd.",Construction
1959.T,KRAFTIA CORPORATION,Construction
1961.T,"SANKI ENGINEERING CO.,LTD.",Construction
1963.T,JGC HOLDINGS CORPORATION,Construction
1964.T,"Chugai Ro Co.,Ltd.",Construction
1968.T,"TAIHEI DENGYO KAISHA,LTD.",Construction
1969.T,"Takasago Thermal Engineering Co.,Ltd.",Construction
1975.T,"ASAHI KOGYOSHA CO.,LTD.",Construction
1976.T,"MEISEI INDUSTRIAL Co.,Ltd.",Construction
1979.T,Taikisha Ltd.,Construction
1980.T,"DAI-DAN CO.,LTD.",Construction
1982.T,"Hibiya Engineering,Ltd.",Construction
2001.T,NIPPN CORPORATION,Foods
2002.T,NISSHIN SEIFUN GROUP INC.,Foods
2004.T,"Showa Sangyo Co.,Ltd.",Foods
2053.T,"CHUBU SHIRYO CO.,LTD.",Foods
2060.T,"FEED ONE CO.,LTD.",Foods
2108.T,"Nippon Beet Sugar Manufacturing Co.,Ltd.",Foods
2109.T,"Mitsui DM Sugar Co.,Ltd.",Foods
2117.T,"WELLNEO SUGAR Co.,Ltd.",Foods
2120.T,"LIFULL Co.,Ltd.",Services
2121.T,"MIXI,Inc.",Information & Communication
2124.T,"JAC Recruitment Co.,Ltd.",Services
2127.T,Nihon M&A Center Holdings Inc.,Services
212A.T,FIT EASY Inc.,Services
2130.T,"Members Co.,Ltd.",Services
2146.T,"UT Group Co.,Ltd.",Services
2148.T,ITmedia Inc.,Services
2153.T,E・J Holdings Inc.,Services
2154.T,Open Up Group Inc.,Services
2157.T,"KOSHIDAKA HOLDINGS Co.,LTD.",Services
2163.T,"ARTNER CO.,LTD.",Services
2168.T,Pasona Group Inc.,Services
2170.T,Link and Motivation Inc.,Services
2175.T,"SMS CO.,LTD.",Services
2181.T,"PERSOL HOLDINGS CO.,LTD.",Services
2198.T,IKK Holdings Inc.,Services
2201.T,"Morinaga & Co.,Ltd.",Foods
2206.T,"Ezaki Glico Co.,Ltd.",Foods
2207.T,"MEITO CO.,LTD.",Foods
2209.T,"IMURAYA GROUP CO.,LTD.",Foods
2211.T,"Fujiya Co.,Ltd.",Foods
2212.T,"YAMAZAKI BAKING CO.,LTD.",Foods
2217.T,Morozoff Limited,Foods
2220.T,"KAMEDA SEIKA CO.,LTD.",Foods
2222.T,"Kotobuki Spirits Co.,Ltd.",Foods
2229.T,"CALBEE,Inc.",Foods
2264.T,"MORINAGA MILK INDUSTRY CO.,LTD.",Foods
2266.T,"ROKKO BUTTER CO.,LTD.",Foods
2267.T,"YAKULT HONSHA CO.,LTD.",Foods
2269.T,"Meiji Holdings Co.,Ltd.",Foods
2270.T,"MEGMILK SNOW BRAND Co.,Ltd.",Foods
2281.T,"Prima Meat Packers,Ltd.",Foods
2282.T,NH Foods Ltd.,Foods
2288.T,"MARUDAI FOOD CO.,LTD.",Foods
2292.T,S Foods Inc.,Foods
2294.T,"Kakiyasu Honten Co.,Ltd.",Foods
2296.T,ITOHAM YONEKYU HOLDINGS INC.,Foods
2301.T,"GAKUJO CO.,Ltd.",Services
2307.T,"CROSS CAT CO.,LTD.",Information & Communication
2317.T,Systena Corporation,Information & Communication
2325.T,"NJS Co.,Ltd.",Services
2326.T,Digital Arts Inc.,Information & Communication
2327.T,NS Solutions Corporation,Information & Communication
2331.T,"ALSOK CO.,LTD.",Services
2335.T,CUBE SYSTEM INC.,Information & Communication
2337.T,Ichigo Inc.,Real Estate
2353.T,"NIPPON PARKING DEVELOPMENT Co.,Ltd.",Real Estate
2359.T,CORE CORPORATION,Information & Communication
2371.T,"Kakaku.com,Inc.",Services
2374.T,SAINT-CARE HOLDING CORPORATION,Services
2378.T,"RENAISSANCE,INCORPORATED",Services
2379.T,dip Corporation,Services
2384.T,"SBS Holdings,Inc.",Land Transportation
2389.T,"DIGITAL HOLDINGS,INC.",Services
2395.T,"SHIN NIPPON BIOMEDICAL LABORATORIES,LTD.",Services
2410.T,"CAREER DESIGN CENTER CO.,LTD.",Services
2413.T,"M3,Inc.",Services
2429.T,"WORLD HOLDINGS CO.,LTD.",Services
2432.T,"DeNA Co.,Ltd.",Information & Communication
2433.T,HAKUHODO DY HOLDINGS INCORPORATED,Services
2445.T,"Takamiya Co.,Ltd.",Services
2461.T,"FAN Communications,Inc.",Services
2462.T,"LIKE,Inc.",Services
2471.T,"S-Pool,Inc.",Services
2475.T,"WDB HOLDINGS CO.,LTD.",Services
2491.T,"ValueCommerce Co.,Ltd.",Services
2492.T,Infomart Corporation,Services
2501.T,SAPPORO HOLDINGS LIMITED,Foods
2502.T,"Asahi Group Holdings,Ltd.",Foods
2503.T,"Kirin Holdings Company,Limited",Foods
2531.T,TAKARA HOLDINGS INC.,Foods
2533.T,"Oenon Holdings,Inc.",Foods
2540.T,"YOMEISHU SEIZO CO.,LTD.",Foods
256A.T,TOBISHIMA HOLDINGS Inc.,Construction
2579.T,Coca-Cola Bottlers Japan Holdings Inc.,Foods
2585.T,"LIFEDRINK COMPANY,INC.",Foods
2587.T,Suntory Beverage & Food Limited,Foods
2590.T,"DyDo GROUP HOLDINGS,INC.",Foods
2593.T,"ITO EN,LTD.",Foods
25935.T,"Class-A Preferred Stock of ITO EN,LTD.",Foods
2594.T,KEY COFFEE INC,Foods
2602.T,"The Nisshin OilliO Group,Ltd.",Foods
2607.T,"FUJI OIL CO.,LTD.",Foods
2613.T,"J-OIL MILLS, INC.",Foods
262A.T,INTERMESTIC INC.,Retail Trade
2659.T,"SAN-A CO.,LTD.",Retail Trade
2664.T,CAWACHI LIMITED,Retail Trade
2670.T,"ABC-MART,INC.",Retail Trade
2674.T,"HARD OFF CORPORATION Co.,Ltd.",Retail Trade
2676.T,"TAKACHIHO KOHEKI CO.,LTD.",Wholesale Trade
2678.T,ASKUL Corporation,Retail Trade
2681.T,GEO HOLDINGS CORPORATION,Retail Trade
2685.T,"and ST HD Co.,Ltd.",Retail Trade
268A.T,Rigaku Holdings Corporation,Precision Instruments
2692.T,"ITOCHU-SHOKUHIN Co.,Ltd.",Wholesale Trade
2695.T,"Kura Sushi,Inc.",Retail Trade
2726.T,"PAL GROUP Holdings CO.,LTD",Retail Trade
2730.T,EDION Corporation,Retail Trade
2733.T,ARATA CORPORATION,Wholesale Trade
2734.T,SALA CORPORATION,Retail Trade
2737.T,TOMEN DEVICES CORPORATION,Wholesale Trade
2742.T,"HALOWS CO.,LTD.",Retail Trade
2749.T,"JP-HOLDINGS,INC.",Services
2752.T,FUJIO FOOD GROUP INC.,Retail Trade
2753.T,"AMIYAKI TEI CO.,LTD.",Retail Trade
2760.T,TOKYO ELECTRON DEVICE LIMITED,Wholesale Trade
2767.T,TSUBURAYA FIELDS HOLDINGS INC.,Wholesale Trade
2768.T,Sojitz Corporation,Wholesale Trade
2784.T,Alfresa Holdings Corporation,Wholesale Trade
2791.T,"DAIKOKUTENBUSSAN CO.,LTD.",Retail Trade
2792.T,"HONEYS HOLDINGS CO.,LTD.",Retail Trade
2801.T,KIKKOMAN CORPORATION,Foods
2802.T,"Ajinomoto Co.,Inc.",Foods
2804.T,"BULL-DOG SAUCE CO.,LTD.",Foods
2809.T,Kewpie Corporation,Foods
2810.T,House Foods Group Inc.,Foods
2811.T,"KAGOME CO.,LTD.",Foods
2815.T,"ARIAKE JAPAN Co.,Ltd.",Foods
285A.T,Kioxia Holdings Corporation,Electric Appliances
2871.T,NICHIREI CORPORATION,Foods
2874.T,"YOKOREI CO.,LTD.",Wholesale Trade
2875.T,"TOYO SUISAN KAISHA,LTD.",Foods
2882.T,"EAT&HOLDINGS Co.,Ltd",Foods
2884.T,Yoshimura Food Holdings K.K.,Foods
2897.T,"NISSIN FOODS HOLDINGS CO.,LTD.",Foods
2908.T,"FUJICCO CO.,LTD.",Foods
2910.T,"ROCK FIELD CO.,LTD.",Foods
2914.T,JAPAN TOBACCO INC.,Foods
2915.T,"KENKO Mayonnaise Co.,Ltd.",Foods
2918.T,"WARABEYA NICHIYO HOLDINGS CO.,LTD.",Foods
2922.T,"NATORI CO.,LTD.",Foods
2929.T,"Pharma Foods International Co.,Ltd.",Foods
2930.T,Kitanotatsujin Corporation,Chemicals
2931.T,"Euglena Co.,Ltd.",Foods
2933.T,KIBUN FOODS INC.,Foods
2935.T,"PICKLES HOLDINGS CO.,LTD.",Foods
2975.T,"Star Mica Holdings Co.,Ltd.",Real Estate
2980.T,SRE Holdings Corporation,Real Estate
2982.T,"A.D.Works Group Co.,Ltd.",Real Estate
3002.T,GUNZE LIMITED,Textiles and Apparels
3003.T,"Hulic Co.,Ltd.",Real Estate
3028.T,"Alpen Co.,Ltd.",Retail Trade
3031.T,"RACCOON HOLDINGS,Inc.",Information & Communication
3034.T,"Qol Holdings Co.,Ltd.",Retail Trade
3036.T,ALCONIX CORPORATION,Wholesale Trade
3038.T,"KOBE BUSSAN CO.,LTD.",Wholesale Trade
3040.T,SOLITON SYSTEMS K.K.,Information & Communication
3046.T,JINS HOLDINGS Inc.,Retail Trade
3048.T,BIC CAMERA INC.,Retail Trade
3050.T,"DCM Holdings Co.,Ltd.",Retail Trade
3064.T,"MonotaRO Co.,Ltd.",Retail Trade
3076.T,Ai Holdings Corporation,Wholesale Trade
3086.T,"J.FRONT RETAILING Co.,Ltd.",Retail Trade
3087.T,"DOUTOR・NICHIRES Holdings Co.,Ltd.",Retail Trade
3088.T,MatsukiyoCocokara & Co.,Retail Trade
3091.T,"BRONCO BILLY Co.,LTD.",Retail Trade
3092.T,"ZOZO,Inc.",Retail Trade
3093.T,"Treasure Factory Co.,LTD.",Retail Trade
3097.T,The Monogatari Corporation,Retail Trade
3099.T,Isetan Mitsukoshi Holdings Ltd.,Retail Trade
3101.T,"TOYOBO CO.,LTD.",Chemicals
3103.T,UNITIKA LTD.,Textiles and Apparels
3104.T,"Fujibo Holdings,Inc.",Textiles and Apparels
3105.T,Nisshinbo Holdings Inc.,Electric Appliances
3106.T,KURABO INDUSTRIES LTD.,Textiles and Apparels
3107.T,"Daiwabo Holdings Co.,Ltd.",Wholesale Trade
3109.T,SHIKIBO LTD.,Textiles and Apparels
3110.T,"NITTO BOSEKI CO.,LTD.",Glass and Ceramics Products
3116.T,TOYOTA BOSHOKU CORPORATION,Transportation Equipment
3132.T,"MACNICA HOLDINGS,INC.",Wholesale Trade
3135.T,"MarketEnterprise Co.,Ltd",Retail Trade
3139.T,"Lacto Japan Co.,Ltd.",Wholesale Trade
3148.T,"CREATE SD HOLDINGS CO.,LTD.",Retail Trade
3150.T,"grems,Inc.",Electric Power and Gas
3151.T,"VITAL KSK HOLDINGS,INC.",Wholesale Trade
3153.T,"Yashima Denki Co.,Ltd.",Wholesale Trade
3154.T,"MEDIUS HOLDINGS Co.,Ltd.",Wholesale Trade
3156.T,Restar Corporation,Wholesale Trade
3167.T,TOKAI Holdings Corporation,Wholesale Trade
3176.T,"Sanyo Trading Co.,Ltd.",Wholesale Trade
3179.T,"Syuppin Co.,Ltd.",Retail Trade
3180.T,BEAUTY GARAGE Inc.,Wholesale Trade
3182.T,Oisix ra daichi Inc.,Retail Trade
3183.T,"WIN-Partners Co.,Ltd.",Wholesale Trade
3186.T,"NEXTAGE Co.,Ltd.",Retail Trade
3191.T,"JOYFUL HONDA CO.,LTD.",Retail Trade
3193.T,"Eternal Hospitality Group Co.,Ltd.",Retail Trade
3196.T,"HOTLAND HOLDINGS Co.,Ltd.",Retail Trade
3197.T,"SKYLARK HOLDINGS CO.,LTD.",Retail Trade
3198.T,"SFP Holdings Co.,Ltd.",Retail Trade
3199.T,"Watahan & Co.,Ltd.",Retail Trade
3201.T,"THE JAPAN WOOL TEXTILE CO.,LTD.",Textiles and Apparels
3221.T,"Yossix Holdings Co.,Ltd.",Retail Trade
3231.T,"Nomura Real Estate Holdings,Inc.",Real Estate
3232.T,"Mie Kotsu Group Holdings,Inc.",Real Estate
3245.T,"DEAR LIFE CO.,LTD.",Real Estate
3252.T,"JINUSHI Co.,Ltd.",Real Estate
3276.T,"Japan Property Management Center Co.,Ltd.",Real Estate
3284.T,"Hoosiers Holdings Co.,Ltd.",Real Estate
3288.T,"Open House Group Co.,Ltd.",Real Estate
3289.T,Tokyu Fudosan Holdings Corporation,Real Estate
3291.T,"Iida Group Holdings Co.,Ltd.",Real Estate
3302.T,"TEIKOKU SEN-I Co.,Ltd.",Textiles and Apparels
3315.T,"NIPPON COKE & ENGINEERING COMPANY,LIMITED",Oil and Coal Products
3333.T,"ASAHI CO.,LTD.",Retail Trade
3349.T,COSMOS Pharmaceutical Corporation,Retail Trade
3360.T,"SHIP HEALTHCARE HOLDINGS,INC.",Wholesale Trade
3371.T,SOFTCREATE HOLDINGS CORP.,Information & Communication
3382.T,"Seven & i Holdings Co.,Ltd.",Retail Trade
3387.T,create restaurants holdings inc.,Retail Trade
3388.T,"MEIJI ELECTRIC INDUSTRIES CO.,LTD.",Wholesale Trade
3391.T,TSURUHA HOLDINGS INC.,Retail Trade
3393.T,"Startia Holdings,Inc.",Wholesale Trade
3395.T,"Saint Marc Holdings Co.,Ltd.",Retail Trade
3397.T,TORIDOLL Holdings Corporation,Retail Trade
3401.T,TEIJIN LIMITED,Textiles and Apparels
3402.T,"TORAY INDUSTRIES,INC.",Textiles and Apparels
3405.T,"KURARAY CO.,LTD.",Chemicals
3407.T,ASAHI KASEI CORPORATION,Chemicals
3415.T,"TOKYO BASE Co.,Ltd.",Retail Trade
3431.T,"MIYAJI ENGINEERING GROUP,INC.",Metal Products
3433.T,"TOCALO Co.,Ltd.",Metal Products
3436.T,SUMCO CORPORATION,Metal Products
3443.T,"KAWADA TECHNOLOGIES,INC.",Metal Products
3445.T,"RS Technologies Co.,Ltd.",Metal Products
3457.T,"&Do Holdings Co.,Ltd.",Real Estate
3465.T,"KI-STAR REAL ESTATE CO.,LTD",Real Estate
3475.T,"Good Com Asset Co.,Ltd.",Real Estate
3480.T,"J.S.B.Co.,Ltd.",Real Estate
3482.T,Loadstar Capital K.K.,Real Estate
3484.T,"Innovation Holdings CO.,LTD.",Real Estate
3486.T,GLOBAL LINK MANAGEMENT INC.,Real Estate
3496.T,"AZOOM CO.,LTD",Real Estate
3498.T,"Kasumigaseki Capital Co.,Ltd.",Real Estate
3501.T,"SUMINOE Co.,Ltd.",Textiles and Apparels
3539.T,"JM HOLDINGS CO.,LTD.",Retail Trade
3543.T,"KOMEDA Holdings Co.,Ltd.",Wholesale Trade
3546.T,"Alleanza Holdings Co.,Ltd.",Retail Trade
3548.T,BAROQUE JAPAN LIMITED,Retail Trade
3549.T,"KUSURI NO AOKI HOLDINGS CO.,LTD.",Retail Trade
3561.T,"CHIKARANOMOTO HOLDINGS Co.,Ltd.",Retail Trade
3563.T,FOOD & LIFE COMPANIES LTD.,Retail Trade
3569.T,"SEIREN CO.,LTD.",Textiles and Apparels
3580.T,"KOMATSU MATERE Co.,Ltd.",Textiles and Apparels
3591.T,WACOAL HOLDINGS CORP.,Textiles and Apparels
3593.T,"HOGY MEDICAL CO.,LTD.",Textiles and Apparels
3608.T,"TSI HOLDINGS CO.,LTD.",Textiles and Apparels
3612.T,"WORLD CO.,LTD.",Textiles and Apparels
3626.T,TIS Inc.,Information & Communication
3632.T,"GREE Holdings,Inc.",Information & Communication
3635.T,"KOEI TECMO HOLDINGS CO.,LTD.",Information & Communication
3636.T,"Mitsubishi Research Institute,Inc.",Information & Communication
3649.T,FINDEX Inc.,Information & Communication
3655.T,BrainPad Inc.,Information & Communication
3656.T,KLab Inc.,Information & Communication
3657.T,"Pole To Win Holdings,Inc.",Information & Communication
3659.T,"NEXON Co.,Ltd.",Information & Communication
3660.T,istyle Inc.,Information & Communication
3661.T,"m-up holdings,Inc.",Information & Communication
3662.T,"Ateam Holdings Co.,Ltd.",Information & Communication
3663.T,"CELSYS,Inc.",Information & Communication
3665.T,Enigmo Inc.,Information & Communication
3668.T,"COLOPL,Inc.",Information & Communication
3673.T,"Broadleaf Co.,Ltd.",Information & Communication
3675.T,Cross Marketing Group Inc.,Information & Communication
3676.T,"DIGITAL HEARTS HOLDINGS Co.,Ltd.",Information & Communication
3678.T,"MEDIA DO Co.,Ltd.",Information & Communication
3679.T,"ZIGExN Co.,Ltd.",Information & Communication
3681.T,"V-cube,Inc.",Information & Communication
3687.T,Fixstars Corporation,Information & Communication
368A.T,Kitazato Corporation,Precision Instruments
3694.T,OPTiM CORPORATION,Information & Communication
3696.T,CERES INC.,Information & Communication
3697.T,SHIFT Inc.,Information & Communication
3708.T,"Tokushu Tokai Paper Co.,Ltd.",Pulp and Paper
3741.T,"Systems Engineering Consultants Co.,LTD.",Information & Communication
3762.T,TECHMATRIX CORPORATION,Information & Communication
3763.T,Pro-Ship Incorporated,Information & Communication
3765.T,"GungHo Online Entertainment,Inc.",Information & Communication
3769.T,"GMO Payment Gateway,Inc.",Information & Communication
3771.T,"SYSTEM RESEARCH CO.,LTD.",Information & Communication
3774.T,Internet Initiative Japan Inc.,Information & Communication
3778.T,SAKURA internet Inc.,Information & Communication
3788.T,GMO GlobalSign Holdings K.K.,Information & Communication
3817.T,"SRA Holdings,Inc.",Information & Communication
3834.T,"Asahi Net,Inc.",Information & Communication
3835.T,"eBASE Co.,Ltd.",Information & Communication
3836.T,AVANT GROUP CORPORATION,Information & Communication
3837.T,Ad-Sol Nissin Corporation,Information & Communication
3843.T,"FreeBit Co.,Ltd.",Information & Communication
3844.T,COMTURE CORPORATION,Information & Communication
3853.T,ASTERIA Corporation,Information & Communication
3854.T,I'LL INC,Information & Communication
3861.T,Oji Holdings Corporation,Pulp and Paper
3863.T,"Nippon Paper Industries Co.,Ltd.",Pulp and Paper
3864.T,Mitsubishi Paper Mills Limited,Pulp and Paper
3865.T,Hokuetsu Corporation,Pulp and Paper
3877.T,"Chuetsu Pulp & Paper Co.,Ltd.",Pulp and Paper
3880.T,Daio Paper Corporation,Pulp and Paper
3901.T,"MarkLines Co.,Ltd.",Information & Communication
3902.T,"Medical Data Vision Co.,Ltd.",Information & Communication
3903.T,gumi Inc.,Information & Communication
3915.T,"TerraSky Co.,Ltd",Information & Communication
3916.T,Digital Information Technologies Corporation,Information & Communication
3921.T,NEOJAPAN Inc.,Information & Communication
3922.T,PR TIMES Corporation,Information & Communication
3923.T,"RAKUS Co.,Ltd.",Information & Communication
3924.T,"R&D COMPUTER CO.,LTD.",Information & Communication
3925.T,Double Standard Inc.,Information & Communication
3926.T,Open Door Inc.,Information & Communication
3932.T,Akatsuki Inc.,Information & Communication
3937.T,"Ubicom Holdings,Inc.",Information & Communication
3939.T,"Kanamic Network Co.,LTD",Information & Communication
3941.T,"Rengo Co.,Ltd.",Pulp and Paper
3946.T,"TOMOKU CO.,LTD.",Pulp and Paper
3950.T,THE PACK CORPORATION,Pulp and Paper
3962.T,"CHANGE Holdings,Inc.",Information & Communication
3963.T,"Synchro Food Co.,Ltd.",Information & Communication
3964.T,AUCNET INC.,Information & Communication
3968.T,"Segue Group Co.,Ltd.",Information & Communication
